iter	Passed	Remaining
884	7706	1001
885	7723	993
886	7739	985
887	7751	977
888	7764	969
889	7777	961
890	7792	953
891	7809	945
892	7823	937
893	7840	929
894	7858	921
895	7870	913
896	7879	904
897	7890	896
898	7901	887
899	7909	878
900	7918	870
901	7926	861
902	7935	852
903	7942	843
904	7950	834
905	7957	825
906	7965	816
907	7972	807
908	7982	799
909	7989	790
910	7998	781
911	8005	772
912	8015	763
913	8024	755
914	8033	746
915	8042	737
916	8051	728
917	8060	719
918	8068	711
919	8082	702
920	8097	694
921	8105	685
922	8116	677
923	8131	668
924	8146	660
925	8154	651
926	8165	642
927	8174	634
928	8184	625
929	8197	617
930	8209	608
931	8225	600
932	8238	591
933	8252	583
934	8267	574
935	8280	566
936	8299	558
937	8317	549
938	8333	541
939	8351	533
940	8367	524
941	8389	516
942	8400	507
943	8414	499
944	8425	490
945	8433	481
946	8442	472
947	8450	463
948	8459	454
949	8472	445
950	8484	437
951	8492	428
952	8502	419
953	8511	410
954	8520	401
955	8536	392
956	8552	384
957	8566	375
958	8576	366
959	8596	358
960	8605	349
961	8613	340
962	8622	331
963	8637	322
964	8648	313
965	8658	304
966	8671	295
967	8680	286
968	8689	277
969	8699	269
970	8706	260
971	8719	251
972	8731	242
973	8739	233
974	8751	224
975	8758	215
976	8769	206
977	8778	197
978	8787	188
979	8800	179
980	8807	170
981	8818	161
982	8827	152
983	8835	143
984	8844	134
985	8852	125
986	8860	116
987	8868	107
988	8877	98
989	8886	89
990	8896	80
991	8903	71
992	8914	62
993	8921	53
994	8931	44
995	8939	35
996	8949	26
997	8957	17
998	8965	8
999	8974	0
